"x"
"1","survey"
"o_district","d_district","purp","Freq"
"87","3","6","HBW",4689.7534585575
"88","4","6","HBW",5433.8603495572
"89","5","6","HBW",102606.018757173
"90","6","6","HBW",31638.7259078331
"91","7","6","HBW",55973.4193399107
"92","1","7","HBW",31242.7753708605
"93","2","7","HBW",10902.6882411155
"94","3","7","HBW",28442.9686363534
"95","4","7","HBW",24160.8955893355
"96","5","7","HBW",91813.2851090405
"97","6","7","HBW",48820.0918115817
"98","7","7","HBW",1184672.02316071
"99","1","1","NHB",106771.417835303
"100","2","1","NHB",17794.129101477
"101","3","1","NHB",9714.0331644836
"102","4","1","NHB",20770.2192794497
"103","5","1","NHB",17978.9220840052
"104","6","1","NHB",6597.9112278094
"105","7","1","NHB",15793.027433993
"106","1","2","NHB",17657.5466888604
"107","2","2","NHB",24164.4963595942
"108","3","2","NHB",2996.6856599637
"109","4","2","NHB",3452.9392533424
"110","5","2","NHB",4801.2288649
"111","6","2","NHB",11489.4782329897
"112","7","2","NHB",11285.9716944233
"113","1","3","NHB",14888.8637180868
"114","2","3","NHB",5004.4746420933
"115","3","3","NHB",90991.0697755697
"116","4","3","NHB",21391.5015298959
"117","5","3","NHB",11928.9333368897
"118","6","3","NHB",1586.4467615072
"119","7","3","NHB",21565.2357175826
"120","1","4","NHB",22433.0266435242
"121","2","4","NHB",5399.831518154
"122","3","4","NHB",17991.8180672303
"123","4","4","NHB",85478.019893248
"124","5","4","NHB",5827.9393769784
"125","6","4","NHB",3601.536531909
"126","7","4","NHB",21260.5100601543
"127","1","5","NHB",12300.8312774597
"128","2","5","NHB",4979.7328320673
"129","3","5","NHB",8744.224270651
"130","4","5","NHB",7281.9400810298
"131","5","5","NHB",693078.856007401
"132","6","5","NHB",84585.1123377013
"133","7","5","NHB",77618.3116029355
"134","1","6","NHB",5378.2541937406
"135","2","6","NHB",4001.7975685994
"136","3","6","NHB",782.3268071609
"137","4","6","NHB",797.6028286079
"138","5","6","NHB",70577.3828495525
"139","6","6","NHB",220818.738550623
"140","7","6","NHB",18944.0663957452
"141","1","7","NHB",25999.7772568291
"142","2","7","NHB",9785.8095628509
"143","3","7","NHB",24737.022965954
"144","4","7","NHB",24998.330220853
"145","5","7","NHB",112723.198340381
"146","6","7","NHB",26032.2378995555
"147","7","7","NHB",2795237.99378426
"x"
"1","survey_in"
"o_district","d_district","purp","Freq"
"1","1","1","HBO",271393.93017465
"2","2","1","HBO",18077.9478046459
"3","3","1","HBO",12898.4277192051
"4","4","1","HBO",25307.2135214181
"5","5","1","HBO",7658.6541316994
"6","6","1","HBO",3275.835331614
"7","7","1","HBO",14894.9529928638
"8","1","2","HBO",15134.938858734
"9","2","2","HBO",3554.333638019
"10","3","2","HBO",714.836520555
"11","4","2","HBO",1504.2446877075
"12","5","2","HBO",1014.9667262303
"13","6","2","HBO",146.590298378
"14","7","2","HBO",174.3741315684
"15","1","3","HBO",9838.5219273755
"16","2","3","HBO",872.3399771
"17","3","3","HBO",242090.75633064
"18","4","3","HBO",34774.3732720306
"19","5","3","HBO",8517.4708555788
"20","6","3","HBO",1976.891435132
"21","7","3","HBO",15369.9571865632
"22","1","4","HBO",19017.4761826454
"23","2","4","HBO",8490.1388656235
"24","3","4","HBO",36200.3373674455
"25","4","4","HBO",233017.569194498
"26","5","4","HBO",5541.270617009
"27","6","4","HBO",150.485976826
"28","7","4","HBO",11562.4703492794
"29","1","5","HBO",9751.399954652
"30","2","5","HBO",857.1072746593
"31","3","5","HBO",8028.1790993438
"32","4","5","HBO",6495.815920501
"33","5","5","HBO",0
"34","6","5","HBO",0
"35","7","5","HBO",0
"36","1","6","HBO",4722.685674591
"37","2","6","HBO",131.494048378
"38","3","6","HBO",1320.715905195
"39","4","6","HBO",6212.556088716
"40","5","6","HBO",0
"41","6","6","HBO",0
"42","7","6","HBO",0
"43","1","7","HBO",13574.9804942332
"44","2","7","HBO",117.6075445587
"45","3","7","HBO",15579.543574335
"46","4","7","HBO",13291.448929717
"47","5","7","HBO",0
"48","6","7","HBO",0
"49","7","7","HBO",0
"50","1","1","HBW",27463.4364449166
"51","2","1","HBW",4845.5887251363
"52","3","1","HBW",8624.2706857212
"53","4","1","HBW",13321.352399659
"54","5","1","HBW",6777.8295725166
"55","6","1","HBW",4728.1235116622
"56","7","1","HBW",6816.8223782301
"57","1","2","HBW",5492.6668159378
"58","2","2","HBW",1946.4334688614
"59","3","2","HBW",3326.0611940758
"60","4","2","HBW",6228.2479814838
"61","5","2","HBW",565.99379709
"62","6","2","HBW",464.5068702428
"63","7","2","HBW",381.1387676655
"64","1","3","HBW",7965.7762240261
"65","2","3","HBW",1859.7661777468
"66","3","3","HBW",28827.678674176
"67","4","3","HBW",12603.4562990559
"68","5","3","HBW",7830.248698482
"69","6","3","HBW",4577.157790314
"70","7","3","HBW",8166.709413458
"71","1","4","HBW",15514.0317360688
"72","2","4","HBW",4828.6595144346
"73","3","4","HBW",12422.9388010336
"74","4","4","HBW",34632.4891305232
"75","5","4","HBW",2238.801636692
"76","6","4","HBW",2008.444733175
"77","7","4","HBW",2539.505869291
"78","1","5","HBW",11241.0060627506
"79","2","5","HBW",671.568230047
"80","3","5","HBW",9262.498950519
"81","4","5","HBW",1621.938731962
"82","5","5","HBW",0
"83","6","5","HBW",0
"84","7","5","HBW",0
"85","1","6","HBW",7498.2025771172
"86","2","6","HBW",464.5068702428
"87","3","6","HBW",4233.0471118
"88","4","6","HBW",3208.501670275
"89","5","6","HBW",0
"90","6","6","HBW",0
"91","7","6","HBW",0
"92","1","7","HBW",8621.6639646599
"93","2","7","HBW",402.3510249575
"94","3","7","HBW",10427.8514352695
"95","4","7","HBW",2738.700864823
"96","5","7","HBW",0
"97","6","7","HBW",0
"98","7","7","HBW",0
"99","1","1","NHB",66500.5670760702
"100","2","1","NHB",10896.5091623855
"101","3","1","NHB",8575.0002183156
"102","4","1","NHB",11895.4980383157
"103","5","1","NHB",11045.345225375
"104","6","1","NHB",4365.865474217
"105","7","1","NHB",6200.3188412347
"106","1","2","NHB",13495.8308887535
"107","2","2","NHB",11184.8459756147
"108","3","2","NHB",1763.6830823417
"109","4","2","NHB",2052.825220655
"110","5","2","NHB",1303.683965851
"111","6","2","NHB",10245.969843273
"112","7","2","NHB",322.9803933383
"113","1","3","NHB",10713.923051786
"114","2","3","NHB",4025.7521608007
"115","3","3","NHB",59045.4844222624
"116","4","3","NHB",13328.9501161854
"117","5","3","NHB",2461.292582806
"118","6","3","NHB",1161.596457452
"119","7","3","NHB",10373.3263040965
"120","1","4","NHB",14241.3419682991
"121","2","4","NHB",3772.849272206
"122","3","4","NHB",12229.9403994291
"123","4","4","NHB",56791.5283398876
"124","5","4","NHB",2234.502862256
"125","6","4","NHB",1974.721397177
"126","7","4","NHB",7199.222966554
"127","1","5","NHB",3820.168414471
"128","2","5","NHB",1355.13141613
"129","3","5","NHB",1678.7152407584
"130","4","5","NHB",1260.910163643
"131","5","5","NHB",22542.5750709434
"132","6","5","NHB",3081.6637383456
"133","7","5","NHB",4553.082113175
"134","1","6","NHB",3348.366666009
"135","2","6","NHB",1489.188151047
"136","3","6","NHB",546.821965122
"137","4","6","NHB",493.426411041
"138","5","6","NHB",3892.8822138246
"139","6","6","NHB",22265.3757865906
"140","7","6","NHB",0
"141","1","7","NHB",5357.4781790021
"142","2","7","NHB",957.1325737818
"143","3","7","NHB",7325.9754484842
"144","4","7","NHB",5827.680198256
"145","5","7","NHB",2865.769410725
"146","6","7","NHB",1466.678064515
"147","7","7","NHB",55732.5573182916
"x"
"1","survey_out"
"o_district","d_district","purp","Freq"
"1","1","1","HBO",0
"2","2","1","HBO",0
"3","3","1","HBO",0
"4","4","1","HBO",0
"5","5","1","HBO",5803.2599237361
"6","6","1","HBO",122.71793082
"7","7","1","HBO",31710.3725571498
"8","1","2","HBO",0
"9","2","2","HBO",0
"10","3","2","HBO",0
"11","4","2","HBO",0
"12","5","2","HBO",1655.5735829013
"13","6","2","HBO",71.9144943498
"14","7","2","HBO",4776.242967855
"15","1","3","HBO",0
"16","2","3","HBO",0
"17","3","3","HBO",0
"18","4","3","HBO",0
"19","5","3","HBO",5142.5557086584
"20","6","3","HBO",326.5669263462
"21","7","3","HBO",51287.039399392
"22","1","4","HBO",0
"23","2","4","HBO",0
"24","3","4","HBO",0
"25","4","4","HBO",0
"26","5","4","HBO",500.8824289656
"27","6","4","HBO",105.915453909
"28","7","4","HBO",19847.961651429
"29","1","5","HBO",7426.282439926
"30","2","5","HBO",2270.2409268881
"31","3","5","HBO",8583.6353789543
"32","4","5","HBO",544.7547718212
"33","5","5","HBO",1333398.43256243
"34","6","5","HBO",87307.8563450025
"35","7","5","HBO",152422.123271352
"36","1","6","HBO",377.7947415666
"37","2","6","HBO",59.5941972915
"38","3","6","HBO",184.2448862788
"39","4","6","HBO",413.9312149402
"40","5","6","HBO",90289.2051679156
"41","6","6","HBO",80475.1831805331
"42","7","6","HBO",22253.0867176928
"43","1","7","HBO",21585.6445376038
"44","2","7","HBO",6642.057784658
"45","3","7","HBO",54639.856108953
"46","4","7","HBO",13369.7952600961
"47","5","7","HBO",126600.171920096
"48","6","7","HBO",31162.2861382641
"49","7","7","HBO",5982331.20104279
"50","1","1","HBW",0
"51","2","1","HBW",0
"52","3","1","HBW",0
"53","4","1","HBW",0
"54","5","1","HBW",10405.0427739656
"55","6","1","HBW",1099.9920860606
"56","7","1","HBW",23490.0258084676
"57","1","2","HBW",0
"58","2","2","HBW",0
"59","3","2","HBW",0
"60","4","2","HBW",0
"61","5","2","HBW",4216.8985693074
"62","6","2","HBW",911.7816805312
"63","7","2","HBW",13603.9848147623
"64","1","3","HBW",0
"65","2","3","HBW",0
"66","3","3","HBW",0
"67","4","3","HBW",0
"68","5","3","HBW",4031.6578750869
"69","6","3","HBW",576.9128605185
"70","7","3","HBW",22640.1966625996
"71","1","4","HBW",0
"72","2","4","HBW",0
"73","3","4","HBW",0
"74","4","4","HBW",0
"75","5","4","HBW",6895.2960780787
"76","6","4","HBW",3272.7907538885
"77","7","4","HBW",23693.2114750935
"78","1","5","HBW",7082.0800655668
"79","2","5","HBW",4031.0219010237
"80","3","5","HBW",3709.7713767494
"81","4","5","HBW",6963.0694924586
"82","5","5","HBW",240636.305605914
"83","6","5","HBW",84026.4651627548
"84","7","5","HBW",106344.279720581
"85","1","6","HBW",1240.1103351412
"86","2","6","HBW",816.2273069008
"87","3","6","HBW",456.7063467575
"88","4","6","HBW",2225.3586792822
"89","5","6","HBW",102606.018757173
"90","6","6","HBW",31638.7259078331
"91","7","6","HBW",55973.4193399107
"92","1","7","HBW",22621.1114062006
"93","2","7","HBW",10500.337216158
"94","3","7","HBW",18015.1172010839
"95","4","7","HBW",21422.1947245125
"96","5","7","HBW",91813.2851090405
"97","6","7","HBW",48820.0918115817
"98","7","7","HBW",1184672.02316071
"99","1","1","NHB",40270.8507592331
"100","2","1","NHB",6897.6199390915
"101","3","1","NHB",1139.032946168
"102","4","1","NHB",8874.721241134
"103","5","1","NHB",6933.5768586302
"104","6","1","NHB",2232.0457535924
"105","7","1","NHB",9592.7085927583
"106","1","2","NHB",4161.7158001069
"107","2","2","NHB",12979.6503839795
"108","3","2","NHB",1233.002577622
"109","4","2","NHB",1400.1140326874
"110","5","2","NHB",3497.544899049
"111","6","2","NHB",1243.5083897167
"112","7","2","NHB",10962.991301085
"113","1","3","NHB",4174.9406663008
"114","2","3","NHB",978.7224812926
"115","3","3","NHB",31945.5853533073
"116","4","3","NHB",8062.5514137105
"117","5","3","NHB",9467.6407540837
"118","6","3","NHB",424.8503040552
"119","7","3","NHB",11191.9094134861
"120","1","4","NHB",8191.6846752251
"121","2","4","NHB",1626.982245948
"122","3","4","NHB",5761.8776678012
"123","4","4","NHB",28686.4915533604
"124","5","4","NHB",3593.4365147224
"125","6","4","NHB",1626.815134732
"126","7","4","NHB",14061.2870936003
"127","1","5","NHB",8480.6628629887
"128","2","5","NHB",3624.6014159373
"129","3","5","NHB",7065.5090298926
"130","4","5","NHB",6021.0299173868
"131","5","5","NHB",670536.280936457
"132","6","5","NHB",81503.4485993557
"133","7","5","NHB",73065.2294897605
"134","1","6","NHB",2029.8875277316
"135","2","6","NHB",2512.6094175524
"136","3","6","NHB",235.5048420389
"137","4","6","NHB",304.1764175669
"138","5","6","NHB",66684.5006357279
"139","6","6","NHB",198553.362764032
"140","7","6","NHB",18944.0663957452
"141","1","7","NHB",20642.299077827
"142","2","7","NHB",8828.6769890691
"143","3","7","NHB",17411.0475174698
"144","4","7","NHB",19170.650022597
"145","5","7","NHB",109857.428929656
"146","6","7","NHB",24565.5598350405
"147","7","7","NHB",2739505.43646597
"x"
"1","soundcast"
"o_district","d_district","purp","Freq"
"1","1","1","HBO",246227
"2","2","1","HBO",20449
"3","3","1","HBO",23570
"4","4","1","HBO",33672
"5","5","1","HBO",25235
"6","6","1","HBO",4460
"7","7","1","HBO",85430
"8","1","2","HBO",19671
"9","2","2","HBO",9493
"10","3","2","HBO",4051
"11","4","2","HBO",2419
"12","5","2","HBO",3326
"13","6","2","HBO",353
"14","7","2","HBO",9747
"15","1","3","HBO",24838
"16","2","3","HBO",4042
"17","3","3","HBO",199049
"18","4","3","HBO",37906
"19","5","3","HBO",31192
"20","6","3","HBO",2160
"21","7","3","HBO",71944
"22","1","4","HBO",35331
"23","2","4","HBO",2587
"24","3","4","HBO",39230
"25","4","4","HBO",131719
"26","5","4","HBO",8518
"27","6","4","HBO",1158
"28","7","4","HBO",58039
"29","1","5","HBO",26539
"30","2","5","HBO",3408
"31","3","5","HBO",31687
"32","4","5","HBO",8696
"33","5","5","HBO",1204254
"34","6","5","HBO",75017
"35","7","5","HBO",198824
"36","1","6","HBO",4465
"37","2","6","HBO",381
"38","3","6","HBO",2073
"39","4","6","HBO",1139
"40","5","6","HBO",67217
"41","6","6","HBO",81851
"42","7","6","HBO",21771
"43","1","7","HBO",94299
"44","2","7","HBO",10357
"45","3","7","HBO",75274
"46","4","7","HBO",62527
"47","5","7","HBO",201487
"48","6","7","HBO",23993
"49","7","7","HBO",5910483
"50","1","1","HBW",23824
"51","2","1","HBW",3882
"52","3","1","HBW",7490
"53","4","1","HBW",10375
"54","5","1","HBW",14671
"55","6","1","HBW",3551
"56","7","1","HBW",39129
"57","1","2","HBW",5614
"58","2","2","HBW",3504
"59","3","2","HBW",2762
"60","4","2","HBW",2195
"61","5","2","HBW",4445
"62","6","2","HBW",531
"63","7","2","HBW",12216
"64","1","3","HBW",6650
"65","2","3","HBW",1763
"66","3","3","HBW",20501
"67","4","3","HBW",9238
"68","5","3","HBW",11776
"69","6","3","HBW",2581
"70","7","3","HBW",30624
"71","1","4","HBW",11395
"72","2","4","HBW",1457
"73","3","4","HBW",10771
"74","4","4","HBW",20564
"75","5","4","HBW",10687
"76","6","4","HBW",2030
"77","7","4","HBW",36075
"78","1","5","HBW",14517
"79","2","5","HBW",2951
"80","3","5","HBW",13187
"81","4","5","HBW",9596
"82","5","5","HBW",216718
"83","6","5","HBW",47439
"84","7","5","HBW",125646
"85","1","6","HBW",5214
"86","2","6","HBW",444
"87","3","6","HBW",4127
"88","4","6","HBW",2818
"89","5","6","HBW",70466
"90","6","6","HBW",29561
"91","7","6","HBW",44044
"92","1","7","HBW",34202
"93","2","7","HBW",7887
"94","3","7","HBW",27983
"95","4","7","HBW",28854
"96","5","7","HBW",109557
"97","6","7","HBW",28373
"98","7","7","HBW",1134357
"99","1","1","NHB",178888
"100","2","1","NHB",24092
"101","3","1","NHB",17356
"102","4","1","NHB",28994
"103","5","1","NHB",17763
"104","6","1","NHB",7974
"105","7","1","NHB",38485
"106","1","2","NHB",20085
"107","2","2","NHB",19521
"108","3","2","NHB",5215
"109","4","2","NHB",1953
"110","5","2","NHB",2384
"111","6","2","NHB",720
"112","7","2","NHB",5150
"113","1","3","NHB",18528
"114","2","3","NHB",6498
"115","3","3","NHB",131667
"116","4","3","NHB",28212
"117","5","3","NHB",18038
"118","6","3","NHB",3804
"119","7","3","NHB",31188
"120","1","4","NHB",25726
"121","2","4","NHB",2459
"122","3","4","NHB",25147
"123","4","4","NHB",101697
"124","5","4","NHB",5196
"125","6","4","NHB",1263
"126","7","4","NHB",23703
"127","1","5","NHB",15607
"128","2","5","NHB",2739
"129","3","5","NHB",15103
"130","4","5","NHB",5513
"131","5","5","NHB",713318
"132","6","5","NHB",77355
"133","7","5","NHB",90098
"134","1","6","NHB",5670
"135","2","6","NHB",614
"136","3","6","NHB",2679
"137","4","6","NHB",999
"138","5","6","NHB",57232
"139","6","6","NHB",147828
"140","7","6","NHB",17083
"141","1","7","NHB",38227
"142","2","7","NHB",6827
"143","3","7","NHB",33277
"144","4","7","NHB",25666
"145","5","7","NHB",104732
"146","6","7","NHB",25674
"147","7","7","NHB",2853769
"x"
"1","bkrcast_lodes"
"o_district","d_district","purp","Freq"
"1","1","1","HBO",244069
"2","2","1","HBO",20355
"3","3","1","HBO",23260
"4","4","1","HBO",33288
"5","5","1","HBO",24727
"6","6","1","HBO",4384
"7","7","1","HBO",83763
"8","1","2","HBO",19598
"9","2","2","HBO",9493
"10","3","2","HBO",4030
"11","4","2","HBO",2407
"12","5","2","HBO",3326
"13","6","2","HBO",353
"14","7","2","HBO",9740
"15","1","3","HBO",24504
"16","2","3","HBO",4015
"17","3","3","HBO",196688
"18","4","3","HBO",37367
"19","5","3","HBO",30837
"20","6","3","HBO",2139
"21","7","3","HBO",70311
"22","1","4","HBO",34898
"23","2","4","HBO",2574
"24","3","4","HBO",38732
"25","4","4","HBO",130315
"26","5","4","HBO",8372
"27","6","4","HBO",1149
"28","7","4","HBO",56982
"29","1","5","HBO",26133
"30","2","5","HBO",3407
"31","3","5","HBO",31376
"32","4","5","HBO",8576
"33","5","5","HBO",1199942
"34","6","5","HBO",74653
"35","7","5","HBO",197392
"36","1","6","HBO",4400
"37","2","6","HBO",381
"38","3","6","HBO",2054
"39","4","6","HBO",1133
"40","5","6","HBO",66936
"41","6","6","HBO",81851
"42","7","6","HBO",21744
"43","1","7","HBO",92920
"44","2","7","HBO",10349
"45","3","7","HBO",73925
"46","4","7","HBO",61657
"47","5","7","HBO",200198
"48","6","7","HBO",23964
"49","7","7","HBO",5885171
"50","1","1","HBW",23824
"51","2","1","HBW",3882
"52","3","1","HBW",7490
"53","4","1","HBW",10375
"54","5","1","HBW",14671
"55","6","1","HBW",3551
"56","7","1","HBW",39129
"57","1","2","HBW",5614
"58","2","2","HBW",3504
"59","3","2","HBW",2762
"60","4","2","HBW",2195
"61","5","2","HBW",4445
"62","6","2","HBW",531
"63","7","2","HBW",12216
"64","1","3","HBW",6650
"65","2","3","HBW",1763
"66","3","3","HBW",20501
"67","4","3","HBW",9238
"68","5","3","HBW",11776
"69","6","3","HBW",2581
"70","7","3","HBW",30624
"71","1","4","HBW",11395
"72","2","4","HBW",1457
"73","3","4","HBW",10771
"74","4","4","HBW",20564
"75","5","4","HBW",10687
"76","6","4","HBW",2030
"77","7","4","HBW",36075
"78","1","5","HBW",14517
"79","2","5","HBW",2951
"80","3","5","HBW",13187
"81","4","5","HBW",9596
"82","5","5","HBW",216718
"83","6","5","HBW",47439
"84","7","5","HBW",125646
"85","1","6","HBW",5214
"86","2","6","HBW",444
"87","3","6","HBW",4127
"88","4","6","HBW",2818
"89","5","6","HBW",70466
"90","6","6","HBW",29561
"91","7","6","HBW",44044
"92","1","7","HBW",34202
"93","2","7","HBW",7887
"94","3","7","HBW",27983
"95","4","7","HBW",28854
"96","5","7","HBW",109557
"97","6","7","HBW",28373
"98","7","7","HBW",1134357
"99","1","1","NHB",175885
"100","2","1","NHB",22876
"101","3","1","NHB",16720
"102","4","1","NHB",28289
"103","5","1","NHB",16967
"104","6","1","NHB",7191
"105","7","1","NHB",37320
"106","1","2","NHB",18822
"107","2","2","NHB",19521
"108","3","2","NHB",4153
"109","4","2","NHB",1804
"110","5","2","NHB",2342
"111","6","2","NHB",720
"112","7","2","NHB",4641
"113","1","3","NHB",17955
"114","2","3","NHB",5463
"115","3","3","NHB",128274
"116","4","3","NHB",27386
"117","5","3","NHB",17228
"118","6","3","NHB",2975
"119","7","3","NHB",30706
"120","1","4","NHB",25104
"121","2","4","NHB",2316
"122","3","4","NHB",24316
"123","4","4","NHB",97377
"124","5","4","NHB",4900
"125","6","4","NHB",1035
"126","7","4","NHB",23146
"127","1","5","NHB",14730
"128","2","5","NHB",2698
"129","3","5","NHB",14295
"130","4","5","NHB",5216
"131","5","5","NHB",707028
"132","6","5","NHB",75394
"133","7","5","NHB",87867
"134","1","6","NHB",4873
"135","2","6","NHB",614
"136","3","6","NHB",1853
"137","4","6","NHB",768
"138","5","6","NHB",55223
"139","6","6","NHB",147828
"140","7","6","NHB",15340
"141","1","7","NHB",36955
"142","2","7","NHB",6320
"143","3","7","NHB",32640
"144","4","7","NHB",25053
"145","5","7","NHB",102365
"146","6","7","NHB",23927
"147","7","7","NHB",2820241
"x"
"1","bkrcast_lodes_in"
"o_district","d_district","purp","Freq"
"1","1","1","HBO",244069
"2","2","1","HBO",20355
"3","3","1","HBO",23260
"4","4","1","HBO",33288
"5","5","1","HBO",12559
"6","6","1","HBO",3204
"7","7","1","HBO",21117
"8","1","2","HBO",19598
"9","2","2","HBO",9493
"10","3","2","HBO",4030
"11","4","2","HBO",2407
"12","5","2","HBO",577
"13","6","2","HBO",113
"14","7","2","HBO",754
"15","1","3","HBO",24504
"16","2","3","HBO",4015
"17","3","3","HBO",196688
"18","4","3","HBO",37367
"19","5","3","HBO",13643
"20","6","3","HBO",1612
"21","7","3","HBO",29292
"22","1","4","HBO",34898
"23","2","4","HBO",2574
"24","3","4","HBO",38732
"25","4","4","HBO",130315
"26","5","4","HBO",5190
"27","6","4","HBO",955
"28","7","4","HBO",20659
"29","1","5","HBO",11831
"30","2","5","HBO",555
"31","3","5","HBO",12505
"32","4","5","HBO",5179
"33","5","5","HBO",0
"34","6","5","HBO",0
"35","7","5","HBO",0
"36","1","6","HBO",2906
"37","2","6","HBO",100
"38","3","6","HBO",1493
"39","4","6","HBO",940
"40","5","6","HBO",0
"41","6","6","HBO",0
"42","7","6","HBO",0
"43","1","7","HBO",19962
"44","2","7","HBO",732
"45","3","7","HBO",27945
"46","4","7","HBO",20065
"47","5","7","HBO",0
"48","6","7","HBO",0
"49","7","7","HBO",0
"50","1","1","HBW",23824
"51","2","1","HBW",3882
"52","3","1","HBW",7490
"53","4","1","HBW",10375
"54","5","1","HBW",5051
"55","6","1","HBW",2668
"56","7","1","HBW",8367
"57","1","2","HBW",5614
"58","2","2","HBW",3504
"59","3","2","HBW",2762
"60","4","2","HBW",2195
"61","5","2","HBW",238
"62","6","2","HBW",116
"63","7","2","HBW",327
"64","1","3","HBW",6650
"65","2","3","HBW",1763
"66","3","3","HBW",20501
"67","4","3","HBW",9238
"68","5","3","HBW",5499
"69","6","3","HBW",2219
"70","7","3","HBW",8306
"71","1","4","HBW",11395
"72","2","4","HBW",1457
"73","3","4","HBW",10771
"74","4","4","HBW",20564
"75","5","4","HBW",3052
"76","6","4","HBW",1468
"77","7","4","HBW",5855
"78","1","5","HBW",8240
"79","2","5","HBW",361
"80","3","5","HBW",8915
"81","4","5","HBW",4990
"82","5","5","HBW",0
"83","6","5","HBW",0
"84","7","5","HBW",0
"85","1","6","HBW",4597
"86","2","6","HBW",214
"87","3","6","HBW",3863
"88","4","6","HBW",2469
"89","5","6","HBW",0
"90","6","6","HBW",0
"91","7","6","HBW",0
"92","1","7","HBW",13387
"93","2","7","HBW",524
"94","3","7","HBW",12815
"95","4","7","HBW",9168
"96","5","7","HBW",0
"97","6","7","HBW",0
"98","7","7","HBW",0
"99","1","1","NHB",114792
"100","2","1","NHB",13245
"101","3","1","NHB",9774
"102","4","1","NHB",16939
"103","5","1","NHB",7940
"104","6","1","NHB",4061
"105","7","1","NHB",12094
"106","1","2","NHB",11200
"107","2","2","NHB",12282
"108","3","2","NHB",2229
"109","4","2","NHB",927
"110","5","2","NHB",767
"111","6","2","NHB",444
"112","7","2","NHB",922
"113","1","3","NHB",10748
"114","2","3","NHB",2978
"115","3","3","NHB",92234
"116","4","3","NHB",17595
"117","5","3","NHB",7699
"118","6","3","NHB",1653
"119","7","3","NHB",12221
"120","1","4","NHB",15759
"121","2","4","NHB",1278
"122","3","4","NHB",16114
"123","4","4","NHB",64934
"124","5","4","NHB",1991
"125","6","4","NHB",589
"126","7","4","NHB",7226
"127","1","5","NHB",4557
"128","2","5","NHB",404
