purpose,coefficient_value
col,-0.1382
hbo,-0.1423
sch,-0.229
hsp,-0.2223
hw1,-0.0858
hw2,-0.0775
hw3,-0.074
hw4,-0.0629
oto,-0.1493
wko,-0.091
